DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_AP_GT0,PC_ENT_INV3SBG,ES,2017,11.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_AP_GT0,PC_ENT_INV3SBG,SE,2017,14.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_AP_GT0,PC_ENT_INV3SBG,SK,2017,14.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT,ES,2017,26.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT,SE,2017,39.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT,SK,2017,21.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT_CUSE,ES,2017,38.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT_CUSE,SE,2017,44.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT_CUSE,SK,2017,27.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT_INV3SBG,ES,2017,57.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT_INV3SBG,SE,2017,58.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_EMP_GT0,PC_ENT_INV3SBG,SK,2017,33.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT,ES,2017,17.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG_PMPQ,PC_ENT,SE,2017,17.6,
